kernel,N,nnz,sparsity,op_intensity_cpu,mem_mb,cpu_time_s,cpu_energy_j,gflops_cpu,bw_gbps_cpu,CPU_Cores,CPU_Freq,op_intensity_gpu,gpu_sm_count,gpu_freq_ghz,gpu_mem_gb,gpu_mem_bw_gbps,gpu_time_s,gpu_energy_j,gflops_gpu,bw_gbps_gpu,speedup,ilp_label,ilp_obj
GEMM,1024,0,0.0,85.3333,25.1658,0.016759332,3.40522,128.1366,1.5016,8,2.27,85.3333,24,1.112,24.0468,288.384,0.0144698,1.76946,148.411,1.73919,1.1582283,0,284.59642
GEMM,1152,0,0.0,96.0,31.8505,0.026974946,5.0364,113.3514,1.1807,8,2.27,96.0,24,1.112,24.0468,288.384,0.0188809,2.16274,161.944,1.68691,1.4286896,0,284.59642
GEMM,1280,0,0.0,106.667,39.3216,0.034672203,6.99743,120.9702,1.1341,8,2.27,106.667,24,1.112,24.0468,288.384,0.0253834,3.29951,165.238,1.5491,1.3659401,1,284.59642
GEMM,1408,0,0.0,117.333,47.5791,0.042260376,8.7281,132.1005,1.1259,8,2.27,117.333,24,1.112,24.0468,288.384,0.0321002,3.41919,173.912,1.48221,1.3165144,0,284.59642
GEMM,1536,0,0.0,128.0,56.6231,0.056910172,11.4602,127.3543,0.995,8,2.27,128.0,24,1.112,24.0468,288.384,0.0375119,4.58638,193.212,1.50947,1.5171232,0,284.59642
GEMM,1664,0,0.0,138.667,66.4535,0.06442216,15.091,143.0391,1.0315,8,2.27,138.667,24,1.112,24.0468,288.384,0.049558,5.61634,185.941,1.34092,1.2999346,0,284.59642
GEMM,1792,0,0.0,149.333,77.0703,0.086307248,18.7278,133.3511,0.893,8,2.27,149.333,24,1.112,24.0468,288.384,0.0640162,7.05879,179.785,1.20392,1.3482095,0,284.59642
GEMM,1920,0,0.0,160.0,88.4736,0.10679671,23.7863,132.5488,0.8284,8,2.27,160.0,24,1.112,24.0468,288.384,0.0765134,8.50078,185.011,1.15632,1.3957909,0,284.59642
GEMM,2048,0,0.0,170.667,100.6633,0.11638294,27.5213,147.615,0.8649,8,2.27,170.667,24,1.112,24.0468,288.384,0.0901351,11.0393,190.601,1.11681,1.2912055,0,284.59642
GEMM,2304,0,0.0,192.0,127.402,0.16175053,38.4841,151.2278,0.7876,8,2.27,192.0,24,1.112,24.0468,288.384,0.128224,14.8497,190.769,0.993589,1.2614684,0,284.59642
GEMM,2560,0,0.0,213.333,157.2864,0.22575076,53.3956,148.6349,0.6967,8,2.27,213.333,24,1.112,24.0468,288.384,0.173144,20.292,193.795,0.908416,1.3038324,0,284.59642
GEMM,2816,0,0.0,234.667,190.3165,0.29581325,70.093,150.9768,0.6434,8,2.27,234.667,24,1.112,24.0468,288.384,0.233568,26.5436,191.211,0.814821,1.2664974,0,284.59642
GEMM,3072,0,0.0,256.0,226.4924,0.38823916,91.7653,149.3462,0.5834,8,2.27,256.0,24,1.112,24.0468,288.384,0.298694,34.1896,194.118,0.758275,1.299789,0,284.59642
GEMM,3328,0,0.0,277.333,265.814,0.48711785,115.373,151.3373,0.5457,8,2.27,277.333,24,1.112,24.0468,288.384,0.381412,43.7098,193.279,0.69692,1.2771435,0,284.59642
GEMM,3584,0,0.0,298.667,308.2813,0.60979509,144.386,150.9907,0.5055,8,2.27,298.667,24,1.112,24.0468,288.384,0.470553,54.3094,195.67,0.655147,1.2959116,1,284.59642
GEMM,3840,0,0.0,320.0,353.8944,0.74507137,176.268,151.9938,0.475,8,2.27,320.0,24,1.112,24.0468,288.384,0.580408,67.3866,195.115,0.609734,1.2837028,0,284.59642
GEMM,4096,0,0.0,341.333,402.6532,0.96636244,226.75,142.223,0.4167,8,2.27,341.333,24,1.112,24.0468,288.384,0.700908,81.7401,196.087,0.574473,1.3787294,0,284.59642
GEMM,4608,0,0.0,384.0,509.6079,1.2894499,305.234,151.762,0.3952,8,2.27,384.0,24,1.112,24.0468,288.384,1.00557,116.971,194.606,0.506787,1.2823074,0,284.59642
GEMM,5120,0,0.0,426.667,629.1456,1.7815425,421.855,150.6759,0.3531,8,2.27,426.667,24,1.112,24.0468,288.384,1.37172,159.886,195.692,0.458654,1.2987654,0,284.59642
GEMM,5632,0,0.0,469.333,761.2662,2.3554193,558.024,151.6875,0.3232,8,2.27,469.333,24,1.112,24.0468,288.384,1.82764,214.703,195.491,0.41653,1.2887764,0,284.59642
GEMM,6144,0,0.0,512.0,905.9697,3.1175013,736.68,148.7911,0.2906,8,2.27,512.0,24,1.112,24.0468,288.384,2.37266,280.021,195.5,0.381836,1.3139267,0,284.59642
GEMM,6656,0,0.0,554.667,1063.2561,3.8835705,920.51,151.8584,0.2738,8,2.27,554.667,24,1.112,24.0468,288.384,3.02115,359.659,195.208,0.351937,1.285461,0,284.59642
GEMM,7168,0,0.0,597.333,1233.1254,4.899864,1159.49,150.328,0.2517,8,2.27,597.333,24,1.112,24.0468,288.384,3.76794,451.996,195.488,0.327268,1.3004093,0,284.59642
GEMM,7680,0,0.0,640.0,1415.5776,5.9695029,1414.99,151.7664,0.2371,8,2.27,640.0,24,1.112,24.0468,288.384,4.62937,561.105,195.701,0.305782,1.2894849,0,284.59642
GEMM,8192,0,0.0,682.667,1610.6127,7.4555701,1763.05,147.4752,0.216,8,2.27,682.667,24,1.112,24.0468,288.384,5.62099,688.752,195.608,0.286536,1.3263803,0,284.59642
GEMM,9216,0,0.0,768.0,2038.4317,10.358283,2455.88,151.1366,0.1968,8,2.27,768.0,24,1.112,24.0468,288.384,8.00662,989.779,195.528,0.254593,1.2937148,0,284.59642
GEMM,10240,0,0.0,853.333,2516.5824,14.354887,3402.8,149.5995,0.1753,8,2.27,853.333,24,1.112,24.0468,288.384,10.9842,1362.22,195.506,0.229108,1.3068669,0,284.59642
GEMM,11264,0,0.0,938.667,3045.0647,18.818852,4466.49,151.885,0.1618,8,2.27,938.667,24,1.112,24.0468,288.384,14.6038,1806.56,195.722,0.208511,1.288627,0,284.59642
GEMM,12288,0,0.0,1024.0,3623.8787,24.622123,5823.69,150.7121,0.1472,8,2.27,1024.0,24,1.112,24.0468,288.384,18.9585,2340.26,195.736,0.191148,1.2987379,0,284.59642
GEMM,13312,0,0.0,1109.33,4253.0243,31.112181,7380.93,151.6455,0.1367,8,2.27,1109.33,24,1.112,24.0468,288.384,24.1059,2994.91,195.721,0.176431,1.2906459,1,284.59642
GEMM,14336,0,0.0,1194.67,4932.5015,39.111167,9273.9,150.6653,0.1261,8,2.27,1194.67,24,1.112,24.0468,288.384,30.093,3736.03,195.816,0.163909,1.2996766,1,284.59642
GEMM,15360,0,0.0,1280.0,5662.3104,47.874059,11357.3,151.3922,0.1183,8,2.27,1280.0,24,1.112,24.0468,288.384,37.0134,4618.08,195.814,0.15298,1.2934251,1,284.59642
GEMM,16384,0,0.0,1365.33,6442.4509,60.868612,14365.5,144.5095,0.1058,8,2.27,684.85236,24,1.112,24.0468,288.384,22.464973,2808.4968,110.55435,2.9672695,2.7094897,1,284.59642
SpMV,1000,10000,0.01,0.142853,0.14,4.4301975e-06,0.000943449,4.5145,31.6022,8,2.27,0.0825824,24,1.112,24.0468,288.384,1.331585e-05,0.0016288625,0.4794285,4.3792,0.33270107,0,284.59642
SpMV,2000,40000,0.01,0.153845,0.52,9.239922e-06,0.00201266,8.6581,56.278,8,2.27,0.09243555,24,1.112,24.0468,288.384,1.492145e-05,0.0016888375,1.646911,12.565508,0.61923754,0,284.59642
SpMV,5000,250000,0.01,0.16129,3.1,3.8914068e-05,0.00861738,12.8488,79.6628,8,2.27,0.10282145,24,1.112,24.0468,288.384,2.34829e-05,0.00255208,3.8570982,28.387463,1.6571236,0,284.59642
SpMV,10000,1000000,0.01,0.163934,12.2,0.00013609864,0.0305004,14.6952,89.6409,8,2.27,0.10794735,24,1.112,24.0468,288.384,4.10326e-05,0.0056353775,7.3921275,52.8825,3.3168417,0,284.59642
SpMV,12500,1562500,0.01,0.164474,19.0,0.00022910157,0.0510354,13.6402,82.9327,8,2.27,0.11136507,24,1.112,24.0468,288.384,5.37083e-05,0.0078031375,8.60267,61.5024,4.2656642,0,284.59642
SpMV,15000,2250000,0.01,0.164835,27.3,0.00032521849,0.072606,13.8369,83.9436,8,2.27,0.11407033,24,1.112,24.0468,288.384,6.8771225e-05,0.010623585,9.5970425,68.73525,4.7289908,0,284.59642
SpMV,60000,36000000,0.01,0.166205,433.2,0.013988421,2.98719,5.1471,30.9685,8,2.27,0.13032547,24,1.112,24.0468,288.384,0.0010056245,0.15598552,14.561618,106.5183,13.910184,0,284.59642
SpMV,75000,56250000,0.01,0.166297,676.5,0.021477605,4.66235,5.238,31.4979,8,2.27,0.13205097,24,1.112,24.0468,288.384,0.0016545889,0.24048425,15.442243,114.4165,12.980629,0,284.59642
SpMV,100000,100000000,0.01,0.166389,1202.0,0.038738887,8.44251,5.1628,31.0283,8,2.27,1.145228,24,1.112,24.0468,288.384,0.0021642772,0.37476802,29.465082,104.07284,17.899226,0,284.59642
SpMV,125000,156250000,0.01,0.166445,1877.5,0.059450111,12.9905,5.2565,31.5811,8,2.27,0.13735163,24,1.112,24.0468,288.384,0.0045384564,0.77404585,17.836535,129.11975,13.099192,0,284.59642
SpMV,150000,225000000,0.01,0.166482,2703.0,0.086579587,18.8968,5.1975,31.2198,8,2.27,0.14006608,24,1.112,24.0468,288.384,0.0065657149,1.1015155,18.182405,127.472,13.18662,0,284.59642
SpMV,200000,400000000,0.01,0.166528,4804.0,0.18770449,40.3798,4.262,25.5934,8,2.27,1.2159124,24,1.112,24.0468,288.384,0.010393967,1.6773151,33.65654,109.00374,18.058985,0,284.59642
SpMV,250000,625000000,0.01,0.166556,7505.0,0.34055162,72.3912,3.6705,22.0378,8,2.27,0.14709225,24,1.112,24.0468,288.384,0.019290446,3.1666282,19.892,135.832,17.653901,0,284.59642
SpMV,300000,900000000,0.01,0.166574,10806.0,0.60527577,127.068,2.9739,17.853,8,2.27,0.1493395,24,1.112,24.0468,288.384,0.028521241,4.6067009,19.666825,132.8695,21.22193,0,284.59642
SpMV,1000,1000,0.001,0.0624922,0.032,2.912856e-06,0.000612792,0.6866,10.9872,8,2.27,0.0825824,24,1.112,24.0468,288.384,1.331585e-05,0.0016288625,0.4794285,4.3792,0.21875104,0,284.59642
SpMV,2000,4000,0.001,0.090905,0.088,3.5716005e-06,0.000757505,2.2399,24.6399,8,2.27,0.09243555,24,1.112,24.0468,288.384,1.492145e-05,0.0016888375,1.646911,12.565508,0.23936015,0,284.59642
SpMV,5000,25000,0.001,0.124999,0.4,1.0469578e-05,0.00211193,4.7757,38.2063,8,2.27,0.10282145,24,1.112,24.0468,288.384,2.34829e-05,0.00255208,3.8570982,28.387463,0.44583838,0,284.59642
SpMV,10000,100000,0.001,0.142857,1.4,2.4791842e-05,0.00530953,8.0672,56.4704,8,2.27,0.10794735,24,1.112,24.0468,288.384,4.10326e-05,0.0056353775,7.3921275,52.8825,0.60419866,0,284.59642
SpMV,12500,156250,0.001,0.147059,2.125,3.5206027e-05,0.00772544,8.8763,60.3591,8,2.27,0.11136507,24,1.112,24.0468,288.384,5.37083e-05,0.0078031375,8.60267,61.5024,0.65550441,0,284.59642
SpMV,15000,225000,0.001,0.15,3.0,4.9455373e-05,0.0108667,9.0991,60.6608,8,2.27,0.11407033,24,1.112,24.0468,288.384,6.8771225e-05,0.010623585,9.5970425,68.73525,0.71912887,0,284.59642
SpMV,60000,3600000,0.001,0.162162,44.4,0.00061299032,0.135355,11.7457,72.4318,8,2.27,0.13032547,24,1.112,24.0468,288.384,0.0010056245,0.15598552,14.561618,106.5183,0.60956187,0,284.59642
SpMV,75000,5625000,0.001,0.163043,69.0,0.001828024,0.391236,6.1542,37.7457,8,2.27,0.13205097,24,1.112,24.0468,288.384,0.0016545889,0.24048425,15.442243,114.4165,1.1048206,0,284.59642
SpMV,100000,10000000,0.001,0.163934,122.0,0.0036701748,0.782304,5.4493,33.2409,8,2.27,1.145228,24,1.112,24.0468,288.384,0.0021642772,0.37476802,29.465082,104.07284,1.695797,0,284.59642
SpMV,125000,15625000,0.001,0.164474,190.0,0.0056913254,1.20951,5.4908,33.3841,8,2.27,0.13735163,24,1.112,24.0468,288.384,0.0045384564,0.77404585,17.836535,129.11975,1.2540223,0,284.59642
