Kernel,N,nnz,Sparsity,op_intensity_cpu,Memoria_MB,Tiempo_CPU_s,Energia_CPU_J,GFLOPS_CPU,BW_Medido_GBps,CPU_Cores,CPU_Freq,op_intensity_gpu,gpu_sm_count,gpu_freq_ghz,gpu_mem_gb,gpu_mem_bw_gbps,gpu_time_s,gpu_energy_j,gflops_GPU,BW_GPU,speedup
GEMM,1024,0,0.0,85.3333,25.1658,0.0032043685,0.351044,670.1737,7.8536,8,2.27,85.3333,108.0,1.41,42.4059,1555.2,0.000223972,0.36106,9588.18,112.361,14.307004893468829
GEMM,1152,0,0.0,96.0,31.8505,0.004335311,0.471861,705.2891,7.3468,8,2.27,96.0,108.0,1.41,42.4059,1555.2,0.000304757,0.36323,10033.1,104.511,14.225468159878195
GEMM,1280,0,0.0,106.667,39.3216,0.006177645,0.68466,678.9487,6.3651,8,2.27,106.667,108.0,1.41,42.4059,1555.2,0.000427687,0.36706,9806.95,91.9401,14.44431324777232
GEMM,1408,0,0.0,117.333,47.5791,0.0078479475,1.02347,711.3476,6.0626,8,2.27,117.333,108.0,1.41,42.4059,1555.2,0.000519321,0.38426,10749.8,91.618,15.111939436302404
GEMM,1536,0,0.0,128.0,56.6231,0.0101034445,1.27151,717.3551,5.6043,8,2.27,128.0,108.0,1.41,42.4059,1555.2,0.000730855,0.41113,9916.82,77.4752,13.824143639983308
GEMM,1664,0,0.0,138.667,66.4535,0.0153412275,1.86633,600.6616,4.3317,8,2.27,138.667,108.0,1.41,42.4059,1555.2,0.000906743,0.36216,10162.6,73.2881,16.919047072875117
GEMM,1792,0,0.0,149.333,77.0703,0.018884479,2.33975,609.4513,4.0811,8,2.27,149.333,108.0,1.41,42.4059,1555.2,0.00103254,0.36004,11146.5,74.6416,18.289343754237123
GEMM,1920,0,0.0,160.0,88.4736,0.022752733,2.81893,622.1572,3.8885,8,2.27,160.0,108.0,1.41,42.4059,1555.2,0.00125751,0.36008,11257.0,70.3561,18.093480767548566
GEMM,2048,0,0.0,170.667,100.6633,0.029038784,3.52178,591.6181,3.4665,8,2.27,170.667,108.0,1.41,42.4059,1555.2,0.00153804,0.36004,11170.0,65.4489,18.88038282489402
GEMM,2304,0,0.0,192.0,127.402,0.038659975,4.78105,632.7262,3.2954,8,2.27,192.0,108.0,1.41,42.4059,1555.2,0.00206291,0.36008,11857.6,61.7585,18.74050491781028
GEMM,2560,0,0.0,213.333,157.2864,0.052334319,6.40691,641.1554,3.0054,8,2.27,213.333,108.0,1.41,42.4059,1555.2,0.00332957,0.36102,10077.7,47.2393,15.718041368705268
GEMM,2816,0,0.0,234.667,190.3165,0.070732659,8.66673,631.4049,2.6906,8,2.27,234.667,108.0,1.41,42.4059,1555.2,0.004327,0.35005,10321.5,43.9835,16.346812803327943
GEMM,3072,0,0.0,256.0,226.4924,0.087109574,10.8163,665.6221,2.6001,8,2.27,256.0,108.0,1.41,42.4059,1555.2,0.00579087,0.35115,10012.7,39.112,15.042571150794268
GEMM,3328,0,0.0,277.333,265.814,0.098925477,12.5967,745.1982,2.687,8,2.27,277.333,108.0,1.41,42.4059,1555.2,0.00738758,0.35698,9978.79,35.9812,13.390782502524509
GEMM,3584,0,0.0,298.667,308.2813,0.121508102,15.6104,757.7549,2.5371,8,2.27,298.667,108.0,1.41,42.4059,1555.2,0.00849337,0.35604,10840.6,36.2967,14.306229682681904
GEMM,3840,0,0.0,320.0,353.8944,0.148102997,19.0666,764.6449,2.3895,8,2.27,320.0,108.0,1.41,42.4059,1555.2,0.0085518,0.368,13242.4,41.3824,17.318341986482377
GEMM,4096,0,0.0,341.333,402.6532,0.18518595,24.395,742.1673,2.1743,8,2.27,341.333,108.0,1.41,42.4059,1555.2,0.00820414,0.4433,16752.4,49.0793,22.572256202356368
GEMM,4608,0,0.0,384.0,509.6079,0.250948342,32.6579,779.7997,2.0307,8,2.27,384.0,108.0,1.41,42.4059,1555.2,0.0109939,2.22392,17799.8,46.3535,22.826143770636445
GEMM,5120,0,0.0,426.667,629.1456,0.350458649,45.6115,765.9547,1.7952,8,2.27,426.667,108.0,1.41,42.4059,1555.2,0.0228201,3.88284,11763.1,27.5698,15.357454568560174
GEMM,5632,0,0.0,469.333,761.2662,0.454008779,59.6761,786.9619,1.6768,8,2.27,469.333,108.0,1.41,42.4059,1555.2,0.0209859,8.35512,17025.1,36.275,21.63399134657079
GEMM,6144,0,0.0,512.0,905.9697,0.607802246,80.436,763.17,1.4906,8,2.27,512.0,108.0,1.41,42.4059,1555.2,0.028912,1.71225,16043.7,31.3354,21.02249052296624
GEMM,6656,0,0.0,554.667,1063.2561,0.754552777,98.3995,781.5924,1.4091,8,2.27,554.667,108.0,1.41,42.4059,1555.2,0.0361742,10.1592,16303.1,29.3927,20.85886562798901
GEMM,7168,0,0.0,597.333,1233.1254,0.947286961,124.625,777.5752,1.3017,8,2.27,597.333,108.0,1.41,42.4059,1555.2,0.0460205,13.0321,16005.6,26.7952,20.584021490422742
GEMM,7680,0,0.0,640.0,1415.5776,1.1401819,150.681,794.5834,1.2415,8,2.27,640.0,108.0,1.41,42.4059,1555.2,0.0582518,15.2909,15552.6,24.301,19.57333335622247
GEMM,8192,0,0.0,682.667,1610.6127,1.48354556,191.949,741.1378,1.0857,8,2.27,682.667,108.0,1.41,42.4059,1555.2,0.0704992,20.4649,15596.1,22.8458,21.043438223412466
GEMM,9216,0,0.0,768.0,2038.4317,1.99236053,263.702,785.7592,1.0231,8,2.27,768.0,108.0,1.41,42.4059,1555.2,0.0934851,22.8632,16746.1,21.8049,21.312065024265895
GEMM,10240,0,0.0,853.333,2516.5824,2.80483389,368.186,765.6367,0.8972,8,2.27,853.333,108.0,1.41,42.4059,1555.2,0.130942,32.8229,16400.3,19.2191,21.42042957950848
GEMM,11264,0,0.0,938.667,3045.0647,3.66508352,480.35,779.8733,0.8308,8,2.27,938.667,108.0,1.41,42.4059,1555.2,0.183518,47.2967,15575.0,16.5927,19.971248160943343
