kernel,N,nnz,sparsity,op_intensity_cpu,mem_mb,cpu_time_s,cpu_energy_j,gflops_cpu,bw_gbps_cpu,CPU_Cores,CPU_Freq,op_intensity_gpu,gpu_sm_count,gpu_freq_ghz,gpu_mem_gb,gpu_mem_bw_gbps,gpu_time_s,gpu_energy_j,gflops_gpu,bw_gbps_gpu,speedup,ilp_label,ilp_obj
GEMM,1024,0,0,85.3333,25.1658,0.0032043685,0.351044,670.1737,7.8536,8,2.27,85.3333,108,1.41,42.4059,1555.2,0.000223972,0.36106,9588.18,112.361,14.307005,0,7.86533
GEMM,1152,0,0,96,31.8505,0.004335311,0.471861,705.2891,7.3468,8,2.27,96,108,1.41,42.4059,1555.2,0.000304757,0.36323,10033.1,104.511,14.225468,0,7.86533
GEMM,1280,0,0,106.667,39.3216,0.006177645,0.68466,678.9487,6.3651,8,2.27,106.667,108,1.41,42.4059,1555.2,0.000427687,0.36706,9806.95,91.9401,14.444313,0,7.86533
GEMM,1408,0,0,117.333,47.5791,0.0078479475,1.02347,711.3476,6.0626,8,2.27,117.333,108,1.41,42.4059,1555.2,0.000519321,0.38426,10749.8,91.618,15.111939,0,7.86533
GEMM,1536,0,0,128,56.6231,0.010103444,1.27151,717.3551,5.6043,8,2.27,128,108,1.41,42.4059,1555.2,0.000730855,0.41113,9916.82,77.4752,13.824144,0,7.86533
GEMM,1664,0,0,138.667,66.4535,0.015341228,1.86633,600.6616,4.3317,8,2.27,138.667,108,1.41,42.4059,1555.2,0.000906743,0.36216,10162.6,73.2881,16.919047,0,7.86533
GEMM,1792,0,0,149.333,77.0703,0.018884479,2.33975,609.4513,4.0811,8,2.27,149.333,108,1.41,42.4059,1555.2,0.00103254,0.36004,11146.5,74.6416,18.289344,0,7.86533
GEMM,1920,0,0,160,88.4736,0.022752733,2.81893,622.1572,3.8885,8,2.27,160,108,1.41,42.4059,1555.2,0.00125751,0.36008,11257,70.3561,18.093481,0,7.86533
GEMM,2048,0,0,170.667,100.6633,0.029038784,3.52178,591.6181,3.4665,8,2.27,170.667,108,1.41,42.4059,1555.2,0.00153804,0.36004,11170,65.4489,18.880383,0,7.86533
GEMM,2304,0,0,192,127.402,0.038659975,4.78105,632.7262,3.2954,8,2.27,192,108,1.41,42.4059,1555.2,0.00206291,0.36008,11857.6,61.7585,18.740505,0,7.86533
