kernel,N,nnz,sparsity,op_intensity_cpu,mem_mb,cpu_time_s,cpu_energy_j,gflops_cpu,bw_gbps_cpu,CPU_Cores,CPU_Freq,op_intensity_gpu,gpu_sm_count,gpu_freq_ghz,gpu_mem_gb,gpu_mem_bw_gbps,gpu_time_s,gpu_energy_j,gflops_gpu,bw_gbps_gpu,speedup,ilp_label,ilp_obj
GEMM,1024,0,0,85.3333,25.1658,0.017803111,1.25375,120.6241,1.4136,8,3.2,85.3333,24,1.112,24.0468,288.384,0.0144698,1.76946,148.411,1.73919,1.2303633,0,287.04329
GEMM,1152,0,0,96,31.8505,0.031070211,1.94134,98.4109,1.0251,8,3.2,96,24,1.112,24.0468,288.384,0.0188809,2.16274,161.944,1.68691,1.6455895,1,287.04329
GEMM,1280,0,0,106.667,39.3216,0.056014618,2.76315,74.8787,0.702,8,3.2,106.667,24,1.112,24.0468,288.384,0.0253834,3.29951,165.238,1.5491,2.2067421,1,287.04329
GEMM,1408,0,0,117.333,47.5791,0.056599621,3.39074,98.6335,0.8406,8,3.2,117.333,24,1.112,24.0468,288.384,0.0321002,3.41919,173.912,1.48221,1.7632171,0,287.04329
GEMM,1536,0,0,128,56.6231,0.055668813,4.44551,130.1942,1.0171,8,3.2,128,24,1.112,24.0468,288.384,0.0375119,4.58638,193.212,1.50947,1.4840307,0,287.04329
GEMM,1664,0,0,138.667,66.4535,0.074186574,5.58928,124.2123,0.8958,8,3.2,138.667,24,1.112,24.0468,288.384,0.049558,5.61634,185.941,1.34092,1.4969646,0,287.04329
GEMM,1792,0,0,149.333,77.0703,0.087210385,7.1945,131.9702,0.8837,8,3.2,149.333,24,1.112,24.0468,288.384,0.0640162,7.05879,179.785,1.20392,1.3623174,0,287.04329
GEMM,1920,0,0,160,88.4736,0.10883297,8.72425,130.0688,0.8129,8,3.2,160,24,1.112,24.0468,288.384,0.0765134,8.50078,185.011,1.15632,1.4224041,0,287.04329
GEMM,2048,0,0,170.667,100.6633,0.12572814,11.1216,136.643,0.8006,8,3.2,170.667,24,1.112,24.0468,288.384,0.0901351,11.0393,190.601,1.11681,1.3948855,0,287.04329
GEMM,2304,0,0,192,127.402,0.15802654,15.7514,154.7916,0.8062,8,3.2,192,24,1.112,24.0468,288.384,0.128224,14.8497,190.769,0.993589,1.2324256,0,287.04329
GEMM,2560,0,0,213.333,157.2864,0.22099321,21.7954,151.8347,0.7117,8,3.2,213.333,24,1.112,24.0468,288.384,0.173144,20.292,193.795,0.908416,1.276355,0,287.04329
GEMM,2816,0,0,234.667,190.3165,0.28953046,28.7455,154.253,0.6573,8,3.2,234.667,24,1.112,24.0468,288.384,0.233568,26.5436,191.211,0.814821,1.2395982,0,287.04329
GEMM,3072,0,0,256,226.4924,0.38206799,37.763,151.7585,0.5928,8,3.2,256,24,1.112,24.0468,288.384,0.298694,34.1896,194.118,0.758275,1.2791284,0,287.04329
GEMM,3328,0,0,277.333,265.814,0.47474616,47.3095,155.2811,0.5599,8,3.2,277.333,24,1.112,24.0468,288.384,0.381412,43.7098,193.279,0.69692,1.2447069,0,287.04329
GEMM,3584,0,0,298.667,308.2813,0.5947499,59.3695,154.8102,0.5183,8,3.2,298.667,24,1.112,24.0468,288.384,0.470553,54.3094,195.67,0.655147,1.2639382,0,287.04329
GEMM,3840,0,0,320,353.8944,0.73158457,72.7338,154.7958,0.4837,8,3.2,320,24,1.112,24.0468,288.384,0.580408,67.3866,195.115,0.609734,1.260466,0,287.04329
GEMM,4096,0,0,341.333,402.6532,0.94706308,92.6855,145.1212,0.4252,8,3.2,341.333,24,1.112,24.0468,288.384,0.700908,81.7401,196.087,0.574473,1.3511946,0,287.04329
GEMM,4608,0,0,384,509.6079,1.271883,126.484,153.8581,0.4007,8,3.2,384,24,1.112,24.0468,288.384,1.00557,116.971,194.606,0.506787,1.2648379,0,287.04329
